Train Metrics
Epoch 0, 25% 	 Loss : 1.0467e+02 	 Res : 1.0837e+01 	 MSE : 6.1127e+01
Training Epoch 20 finished, took current epoch 50.43s, cumulative time 1095.53s
Epoch 21, 25% 	 Loss : 6.9167e-01 	 Res : 5.4284e-03 	 MSE : 8.5417e-01
Epoch 21, 50% 	 Loss : 6.9634e-01 	 Res : 6.2830e-03 	 MSE : 8.1009e-01
Epoch 21, 75% 	 Loss : 7.0160e-01 	 Res : 5.7547e-03 	 MSE : 6.4666e-01
Training Epoch 21 : 	 Train : 6.88814e-01 	 Res : 5.40606e-03 	 MSE : 7.95400e-01
Validation Epoch 21 : 	 Train : 6.73397e-01 	 Res : 3.87093e-03 	 MSE : 1.04386e+00
Training Epoch 21 finished, took current epoch 52.14s, cumulative time 1147.52s
Epoch 22, 25% 	 Loss : 6.9920e-01 	 Res : 4.7336e-03 	 MSE : 7.4018e-01
Epoch 22, 50% 	 Loss : 6.7672e-01 	 Res : 4.9054e-03 	 MSE : 9.8356e-01
Epoch 22, 75% 	 Loss : 6.5943e-01 	 Res : 3.4027e-03 	 MSE : 5.4289e-01
Training Epoch 22 : 	 Train : 6.82385e-01 	 Res : 4.24814e-03 	 MSE : 7.38985e-01
Validation Epoch 22 : 	 Train : 7.13252e-01 	 Res : 9.69863e-03 	 MSE : 8.02657e-01
Training Epoch 22 finished, took current epoch 52.90s, cumulative time 1200.27s
Epoch 23, 25% 	 Loss : 6.8760e-01 	 Res : 4.4850e-03 	 MSE : 8.3502e-01
Epoch 23, 50% 	 Loss : 6.8886e-01 	 Res : 4.5501e-03 	 MSE : 6.6910e-01
Epoch 23, 75% 	 Loss : 6.7662e-01 	 Res : 5.3128e-03 	 MSE : 9.0083e-01
Training Epoch 23 : 	 Train : 6.80948e-01 	 Res : 4.59349e-03 	 MSE : 7.84318e-01
Validation Epoch 23 : 	 Train : 6.63184e-01 	 Res : 3.82625e-03 	 MSE : 7.84616e-01
Training Epoch 23 finished, took current epoch 53.46s, cumulative time 1253.59s
Epoch 24, 25% 	 Loss : 6.7160e-01 	 Res : 3.0782e-03 	 MSE : 6.5388e-01
Epoch 24, 50% 	 Loss : 6.8790e-01 	 Res : 5.7083e-03 	 MSE : 6.2524e-01
Epoch 24, 75% 	 Loss : 6.7953e-01 	 Res : 5.1683e-03 	 MSE : 5.1172e-01
Training Epoch 24 : 	 Train : 6.77992e-01 	 Res : 4.34321e-03 	 MSE : 5.67561e-01
Validation Epoch 24 : 	 Train : 6.64174e-01 	 Res : 3.22791e-03 	 MSE : 2.41518e-01
Training Epoch 24 finished, took current epoch 50.91s, cumulative time 1304.16s
MODEL SAVED
Epoch 25, 25% 	 Loss : 6.8380e-01 	 Res : 4.4022e-03 	 MSE : 5.5547e-01
Epoch 25, 50% 	 Loss : 6.8906e-01 	 Res : 4.7950e-03 	 MSE : 9.2062e-01
Epoch 25, 75% 	 Loss : 6.7169e-01 	 Res : 5.0983e-03 	 MSE : 6.5592e-01
Training Epoch 25 : 	 Train : 6.76903e-01 	 Res : 4.43613e-03 	 MSE : 6.53533e-01
Validation Epoch 25 : 	 Train : 6.63944e-01 	 Res : 4.25252e-03 	 MSE : 1.33402e+00
Training Epoch 25 finished, took current epoch 53.45s, cumulative time 1357.47s
Epoch 26, 25% 	 Loss : 6.8187e-01 	 Res : 4.4203e-03 	 MSE : 6.5906e-01
Epoch 26, 50% 	 Loss : 6.9842e-01 	 Res : 4.9312e-03 	 MSE : 8.8091e-01
Epoch 26, 75% 	 Loss : 6.6080e-01 	 Res : 5.0445e-03 	 MSE : 5.7638e-01
Training Epoch 26 : 	 Train : 6.75812e-01 	 Res : 4.36637e-03 	 MSE : 6.47697e-01
Validation Epoch 26 : 	 Train : 6.39611e-01 	 Res : 1.99819e-03 	 MSE : 4.69320e-01
Training Epoch 26 finished, took current epoch 52.31s, cumulative time 1409.48s
MODEL SAVED
Epoch 27, 25% 	 Loss : 6.5931e-01 	 Res : 2.7074e-03 	 MSE : 4.3630e-01
Epoch 27, 50% 	 Loss : 6.7243e-01 	 Res : 4.9570e-03 	 MSE : 7.9829e-01
Epoch 27, 75% 	 Loss : 6.8314e-01 	 Res : 4.9450e-03 	 MSE : 8.7556e-01
Training Epoch 27 : 	 Train : 6.74429e-01 	 Res : 4.18029e-03 	 MSE : 7.44178e-01
Validation Epoch 27 : 	 Train : 6.67230e-01 	 Res : 4.49625e-03 	 MSE : 6.20445e-01
Training Epoch 27 finished, took current epoch 51.10s, cumulative time 1460.41s
Epoch 28, 25% 	 Loss : 6.7903e-01 	 Res : 4.3615e-03 	 MSE : 7.2309e-01
Epoch 28, 50% 	 Loss : 6.7520e-01 	 Res : 4.1199e-03 	 MSE : 7.5765e-01
Epoch 28, 75% 	 Loss : 6.6552e-01 	 Res : 3.8229e-03 	 MSE : 7.7300e-01
Training Epoch 28 : 	 Train : 6.73829e-01 	 Res : 4.24504e-03 	 MSE : 7.84742e-01
Validation Epoch 28 : 	 Train : 6.69352e-01 	 Res : 5.53371e-03 	 MSE : 5.21921e-01
Training Epoch 28 finished, took current epoch 54.26s, cumulative time 1514.54s
Epoch 29, 25% 	 Loss : 6.6976e-01 	 Res : 4.0056e-03 	 MSE : 5.2295e-01
Epoch 29, 50% 	 Loss : 6.6466e-01 	 Res : 4.1741e-03 	 MSE : 5.6470e-01
Epoch 29, 75% 	 Loss : 6.8027e-01 	 Res : 3.9648e-03 	 MSE : 4.5226e-01
Training Epoch 29 : 	 Train : 6.68106e-01 	 Res : 3.76423e-03 	 MSE : 5.02165e-01
Validation Epoch 29 : 	 Train : 6.43005e-01 	 Res : 1.84722e-03 	 MSE : 5.83693e-01
Training Epoch 29 finished, took current epoch 52.11s, cumulative time 1566.34s
MODEL SAVED
Epoch 30, 25% 	 Loss : 6.5667e-01 	 Res : 3.3497e-03 	 MSE : 6.3886e-01
Epoch 30, 50% 	 Loss : 6.6676e-01 	 Res : 3.7930e-03 	 MSE : 5.4589e-01
Epoch 30, 75% 	 Loss : 6.9080e-01 	 Res : 4.1328e-03 	 MSE : 7.1310e-01
Training Epoch 30 : 	 Train : 6.68483e-01 	 Res : 3.81161e-03 	 MSE : 6.61267e-01
Validation Epoch 30 : 	 Train : 6.50797e-01 	 Res : 3.79352e-03 	 MSE : 9.75502e-01
Training Epoch 30 finished, took current epoch 52.33s, cumulative time 1618.50s
Epoch 31, 25% 	 Loss : 6.7117e-01 	 Res : 4.0832e-03 	 MSE : 6.8352e-01
Epoch 31, 50% 	 Loss : 6.7028e-01 	 Res : 4.2826e-03 	 MSE : 7.3188e-01
Epoch 31, 75% 	 Loss : 6.6290e-01 	 Res : 3.4941e-03 	 MSE : 6.2945e-01
Training Epoch 31 : 	 Train : 6.61803e-01 	 Res : 3.41415e-03 	 MSE : 6.00200e-01
Validation Epoch 31 : 	 Train : 6.39292e-01 	 Res : 1.85991e-03 	 MSE : 4.71736e-01
Training Epoch 31 finished, took current epoch 52.65s, cumulative time 1670.98s
Epoch 32, 25% 	 Loss : 6.5033e-01 	 Res : 3.9358e-03 	 MSE : 6.9791e-01
Epoch 32, 50% 	 Loss : 6.7112e-01 	 Res : 3.9148e-03 	 MSE : 6.3377e-01
Epoch 32, 75% 	 Loss : 6.6251e-01 	 Res : 4.0259e-03 	 MSE : 7.3303e-01
Training Epoch 32 : 	 Train : 6.65207e-01 	 Res : 3.86986e-03 	 MSE : 6.95894e-01
Validation Epoch 32 : 	 Train : 6.60576e-01 	 Res : 4.17390e-03 	 MSE : 6.55996e-01
Training Epoch 32 finished, took current epoch 51.13s, cumulative time 1721.94s
Epoch 33, 25% 	 Loss : 6.7097e-01 	 Res : 2.8325e-03 	 MSE : 4.7211e-01
Epoch 33, 50% 	 Loss : 6.6049e-01 	 Res : 3.0228e-03 	 MSE : 5.0561e-01
Epoch 33, 75% 	 Loss : 6.8114e-01 	 Res : 3.7317e-03 	 MSE : 8.3359e-01
Training Epoch 33 : 	 Train : 6.65565e-01 	 Res : 3.34655e-03 	 MSE : 6.40232e-01
Validation Epoch 33 : 	 Train : 6.52800e-01 	 Res : 3.27585e-03 	 MSE : 2.54197e-01
Training Epoch 33 finished, took current epoch 52.30s, cumulative time 1774.06s
Epoch 34, 25% 	 Loss : 6.7282e-01 	 Res : 4.0178e-03 	 MSE : 4.5687e-01
Epoch 34, 50% 	 Loss : 6.7071e-01 	 Res : 4.1827e-03 	 MSE : 6.9335e-01
Epoch 34, 75% 	 Loss : 6.6479e-01 	 Res : 3.9916e-03 	 MSE : 7.0119e-01
Training Epoch 34 : 	 Train : 6.64088e-01 	 Res : 3.75928e-03 	 MSE : 6.07465e-01
Validation Epoch 34 : 	 Train : 6.43481e-01 	 Res : 2.77743e-03 	 MSE : 2.08931e-01
Training Epoch 34 finished, took current epoch 51.63s, cumulative time 1825.53s
Epoch 35, 25% 	 Loss : 6.5457e-01 	 Res : 2.6702e-03 	 MSE : 4.1870e-01
Epoch 35, 50% 	 Loss : 6.8196e-01 	 Res : 3.7946e-03 	 MSE : 5.6155e-01
Epoch 35, 75% 	 Loss : 6.5738e-01 	 Res : 3.4813e-03 	 MSE : 5.2032e-01
Training Epoch 35 : 	 Train : 6.62927e-01 	 Res : 3.43349e-03 	 MSE : 5.40760e-01
Validation Epoch 35 : 	 Train : 6.41806e-01 	 Res : 2.95785e-03 	 MSE : 2.10581e-01
Training Epoch 35 finished, took current epoch 54.41s, cumulative time 1879.78s
Epoch 36, 25% 	 Loss : 6.6557e-01 	 Res : 3.5492e-03 	 MSE : 6.3769e-01
Epoch 36, 50% 	 Loss : 6.6056e-01 	 Res : 4.3669e-03 	 MSE : 4.2446e-01
Epoch 36, 75% 	 Loss : 6.6351e-01 	 Res : 3.6342e-03 	 MSE : 5.5091e-01
Training Epoch 36 : 	 Train : 6.63521e-01 	 Res : 3.68951e-03 	 MSE : 5.54557e-01
Validation Epoch 36 : 	 Train : 6.34878e-01 	 Res : 2.21523e-03 	 MSE : 3.32138e-01
Training Epoch 36 finished, took current epoch 52.38s, cumulative time 1932.00s
Epoch 37, 25% 	 Loss : 6.6420e-01 	 Res : 3.8232e-03 	 MSE : 5.5942e-01
Epoch 37, 50% 	 Loss : 6.6493e-01 	 Res : 3.4182e-03 	 MSE : 5.1823e-01
Epoch 37, 75% 	 Loss : 6.7298e-01 	 Res : 4.3638e-03 	 MSE : 7.0806e-01
Training Epoch 37 : 	 Train : 6.62520e-01 	 Res : 3.56919e-03 	 MSE : 5.52497e-01
Validation Epoch 37 : 	 Train : 6.41216e-01 	 Res : 2.89493e-03 	 MSE : 1.85977e-01
Training Epoch 37 finished, took current epoch 54.02s, cumulative time 1985.85s
Epoch 38, 25% 	 Loss : 6.5379e-01 	 Res : 2.3425e-03 	 MSE : 4.6497e-01
Epoch 38, 50% 	 Loss : 6.6973e-01 	 Res : 3.1357e-03 	 MSE : 6.5499e-01
Epoch 38, 75% 	 Loss : 6.7305e-01 	 Res : 3.6342e-03 	 MSE : 4.4879e-01
Training Epoch 38 : 	 Train : 6.61028e-01 	 Res : 3.38428e-03 	 MSE : 5.13714e-01
Validation Epoch 38 : 	 Train : 6.58294e-01 	 Res : 5.15428e-03 	 MSE : 1.47121e-01
Training Epoch 38 finished, took current epoch 53.32s, cumulative time 2039.02s
Epoch 39, 25% 	 Loss : 6.7274e-01 	 Res : 3.3652e-03 	 MSE : 4.9870e-01
Epoch 39, 50% 	 Loss : 6.4175e-01 	 Res : 3.6518e-03 	 MSE : 4.4654e-01
Epoch 39, 75% 	 Loss : 6.6110e-01 	 Res : 2.8806e-03 	 MSE : 5.7540e-01
Training Epoch 39 : 	 Train : 6.61457e-01 	 Res : 3.47274e-03 	 MSE : 5.43303e-01
Validation Epoch 39 : 	 Train : 6.41164e-01 	 Res : 2.84071e-03 	 MSE : 7.05841e-01
Training Epoch 39 finished, took current epoch 51.18s, cumulative time 2090.03s
Epoch 40, 25% 	 Loss : 6.8101e-01 	 Res : 3.5543e-03 	 MSE : 5.7268e-01
Epoch 40, 50% 	 Loss : 6.5180e-01 	 Res : 3.4350e-03 	 MSE : 6.1059e-01
Epoch 40, 75% 	 Loss : 6.6219e-01 	 Res : 3.1682e-03 	 MSE : 6.0690e-01
Training Epoch 40 : 	 Train : 6.60278e-01 	 Res : 3.60302e-03 	 MSE : 5.84273e-01
Validation Epoch 40 : 	 Train : 6.31539e-01 	 Res : 2.14744e-03 	 MSE : 5.08804e-01
Training Epoch 40 finished, took current epoch 52.55s, cumulative time 2142.41s
Epoch 41, 25% 	 Loss : 6.4783e-01 	 Res : 2.5413e-03 	 MSE : 4.0285e-01
Epoch 41, 50% 	 Loss : 6.5397e-01 	 Res : 3.4601e-03 	 MSE : 5.9506e-01
Epoch 41, 75% 	 Loss : 6.6428e-01 	 Res : 3.7452e-03 	 MSE : 6.5050e-01
Training Epoch 41 : 	 Train : 6.57938e-01 	 Res : 3.38220e-03 	 MSE : 5.41127e-01
Validation Epoch 41 : 	 Train : 6.76658e-01 	 Res : 6.84743e-03 	 MSE : 1.71334e-01
Training Epoch 41 finished, took current epoch 52.85s, cumulative time 2195.08s
Epoch 42, 25% 	 Loss : 6.7378e-01 	 Res : 3.6037e-03 	 MSE : 4.2522e-01
Epoch 42, 50% 	 Loss : 6.6689e-01 	 Res : 3.0288e-03 	 MSE : 4.8138e-01
Epoch 42, 75% 	 Loss : 6.4203e-01 	 Res : 2.4903e-03 	 MSE : 4.9359e-01
Training Epoch 42 : 	 Train : 6.57076e-01 	 Res : 3.03660e-03 	 MSE : 4.75420e-01
Validation Epoch 42 : 	 Train : 6.44092e-01 	 Res : 3.42944e-03 	 MSE : 9.12412e-01
Training Epoch 42 finished, took current epoch 53.01s, cumulative time 2247.92s
Epoch 43, 25% 	 Loss : 6.4329e-01 	 Res : 3.3750e-03 	 MSE : 6.3606e-01
Epoch 43, 50% 	 Loss : 6.4482e-01 	 Res : 3.3569e-03 	 MSE : 5.7903e-01
Epoch 43, 75% 	 Loss : 6.7082e-01 	 Res : 3.1914e-03 	 MSE : 5.0513e-01
Training Epoch 43 : 	 Train : 6.59487e-01 	 Res : 3.51286e-03 	 MSE : 5.95538e-01
Validation Epoch 43 : 	 Train : 6.44944e-01 	 Res : 2.83115e-03 	 MSE : 4.95348e-01
Training Epoch 43 finished, took current epoch 51.44s, cumulative time 2299.19s
Epoch 44, 25% 	 Loss : 6.5433e-01 	 Res : 3.6331e-03 	 MSE : 4.5631e-01
Epoch 44, 50% 	 Loss : 6.4806e-01 	 Res : 1.7382e-03 	 MSE : 2.4707e-01
Epoch 44, 75% 	 Loss : 6.4469e-01 	 Res : 3.9208e-03 	 MSE : 7.4113e-01
Training Epoch 44 : 	 Train : 6.54859e-01 	 Res : 3.10177e-03 	 MSE : 5.11772e-01
