Train Metrics
Epoch 0, 25% 	 Loss : 4.8200e+00 	 Res : 3.7218e+00 	 Jac : 9.8467e-02 	 Enc : 6.8557e-01 	 AEnc : 2.6680e-01 	 MSE : 4.7332e+01
Validation Epoch 2 : 	 Train : 7.37793e-01 	 Res : 4.76617e-01 	 Jac : 4.75119e-02 	 Enc : 1.37653e-01 	 AE : 3.81114e-02 	 MSE : 3.78998e+01
Training Epoch 2 finished, took current epoch 355.83s, cumulative time 1105.52s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
Epoch 3, 25% 	 Loss : 5.8186e-01 	 Res : 2.8915e-01 	 Jac : 4.9725e-02 	 Enc : 1.3152e-01 	 AEnc : 7.7359e-02 	 MSE : 3.4115e+01
Epoch 3, 50% 	 Loss : 4.7454e-01 	 Res : 2.0400e-01 	 Jac : 5.1561e-02 	 Enc : 1.2862e-01 	 AEnc : 5.9182e-02 	 MSE : 3.1177e+01
Epoch 3, 75% 	 Loss : 6.1005e-01 	 Res : 3.5133e-01 	 Jac : 4.7229e-02 	 Enc : 1.2774e-01 	 AEnc : 4.7564e-02 	 MSE : 3.6183e+01
Training Epoch 3 : 	 Train : 5.24127e-01 	 Res : 2.52480e-01 	 Jac : 5.02259e-02 	 Enc : 1.26344e-01 	 AE : 6.25604e-02 	 MSE : 3.25175e+01
Validation Epoch 3 : 	 Train : 4.21878e-01 	 Res : 1.20194e-01 	 Jac : 4.85597e-02 	 Enc : 1.04998e-01 	 AE : 1.24395e-01 	 MSE : 2.37315e+01
Training Epoch 3 finished, took current epoch 359.53s, cumulative time 1465.03s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
MODEL SAVED
Epoch 4, 25% 	 Loss : 5.8888e-01 	 Res : 2.9586e-01 	 Jac : 4.6026e-02 	 Enc : 1.1567e-01 	 AEnc : 9.6173e-02 	 MSE : 3.5150e+01
Epoch 4, 50% 	 Loss : 5.2006e-01 	 Res : 2.5838e-01 	 Jac : 4.9054e-02 	 Enc : 1.1215e-01 	 AEnc : 6.7333e-02 	 MSE : 3.3145e+01
Epoch 4, 75% 	 Loss : 4.5081e-01 	 Res : 2.0649e-01 	 Jac : 4.7550e-02 	 Enc : 1.0659e-01 	 AEnc : 6.0704e-02 	 MSE : 2.9468e+01
Training Epoch 4 : 	 Train : 5.31008e-01 	 Res : 2.65950e-01 	 Jac : 4.90881e-02 	 Enc : 1.12345e-01 	 AE : 7.05827e-02 	 MSE : 3.30421e+01
Validation Epoch 4 : 	 Train : 5.95606e-01 	 Res : 2.93241e-01 	 Jac : 4.90347e-02 	 Enc : 1.13750e-01 	 AE : 1.18138e-01 	 MSE : 2.14437e+01
Training Epoch 4 finished, took current epoch 365.21s, cumulative time 1830.22s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
Epoch 5, 25% 	 Loss : 4.8346e-01 	 Res : 1.8999e-01 	 Jac : 4.1853e-02 	 Enc : 1.0669e-01 	 AEnc : 1.1497e-01 	 MSE : 2.9960e+01
Epoch 5, 50% 	 Loss : 3.8820e-01 	 Res : 1.6150e-01 	 Jac : 4.9929e-02 	 Enc : 1.0004e-01 	 AEnc : 4.9189e-02 	 MSE : 2.7547e+01
Epoch 5, 75% 	 Loss : 4.6712e-01 	 Res : 2.1382e-01 	 Jac : 4.3670e-02 	 Enc : 9.2841e-02 	 AEnc : 8.5639e-02 	 MSE : 3.1154e+01
Training Epoch 5 : 	 Train : 4.81285e-01 	 Res : 2.30987e-01 	 Jac : 4.54631e-02 	 Enc : 1.00147e-01 	 AE : 7.26811e-02 	 MSE : 3.20075e+01
Validation Epoch 5 : 	 Train : 3.90508e-01 	 Res : 1.98744e-01 	 Jac : 4.28136e-02 	 Enc : 9.73049e-02 	 AE : 1.46806e-02 	 MSE : 3.69648e+01
Training Epoch 5 finished, took current epoch 357.80s, cumulative time 2188.00s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
Epoch 6, 25% 	 Loss : 3.4018e-01 	 Res : 1.4092e-01 	 Jac : 4.5284e-02 	 Enc : 9.5910e-02 	 AEnc : 2.7976e-02 	 MSE : 3.0096e+01
Epoch 6, 50% 	 Loss : 4.1221e-01 	 Res : 2.1953e-01 	 Jac : 4.4610e-02 	 Enc : 9.3817e-02 	 AEnc : 2.2336e-02 	 MSE : 3.1920e+01
Epoch 6, 75% 	 Loss : 5.0448e-01 	 Res : 2.8875e-01 	 Jac : 4.1180e-02 	 Enc : 9.4878e-02 	 AEnc : 4.3302e-02 	 MSE : 3.6370e+01
Training Epoch 6 : 	 Train : 4.39859e-01 	 Res : 2.33903e-01 	 Jac : 4.44004e-02 	 Enc : 9.51030e-02 	 AE : 3.22521e-02 	 MSE : 3.42007e+01
Validation Epoch 6 : 	 Train : 5.43288e-01 	 Res : 3.58174e-01 	 Jac : 4.33469e-02 	 Enc : 8.79972e-02 	 AE : 9.02634e-03 	 MSE : 4.47440e+01
Training Epoch 6 finished, took current epoch 355.03s, cumulative time 2543.01s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
Epoch 7, 25% 	 Loss : 6.1175e-01 	 Res : 3.3598e-01 	 Jac : 4.5574e-02 	 Enc : 9.3748e-02 	 AEnc : 9.9226e-02 	 MSE : 3.7221e+01
Epoch 7, 50% 	 Loss : 4.6658e-01 	 Res : 2.6348e-01 	 Jac : 5.0440e-02 	 Enc : 9.1695e-02 	 AEnc : 2.5114e-02 	 MSE : 3.5856e+01
Epoch 7, 75% 	 Loss : 5.6798e-01 	 Res : 2.3663e-01 	 Jac : 5.4498e-02 	 Enc : 9.2157e-02 	 AEnc : 1.5392e-01 	 MSE : 3.0777e+01
Training Epoch 7 : 	 Train : 5.23307e-01 	 Res : 2.60758e-01 	 Jac : 5.08926e-02 	 Enc : 9.11098e-02 	 AE : 8.67561e-02 	 MSE : 3.37906e+01
Validation Epoch 7 : 	 Train : 3.69756e-01 	 Res : 1.51360e-01 	 Jac : 5.88718e-02 	 Enc : 8.44728e-02 	 AE : 4.86986e-02 	 MSE : 2.63518e+01
Training Epoch 7 finished, took current epoch 371.13s, cumulative time 2914.10s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
Epoch 8, 25% 	 Loss : 3.9866e-01 	 Res : 1.9190e-01 	 Jac : 4.6756e-02 	 Enc : 8.3508e-02 	 AEnc : 4.4946e-02 	 MSE : 3.1551e+01
Epoch 8, 50% 	 Loss : 4.2942e-01 	 Res : 2.1292e-01 	 Jac : 5.2037e-02 	 Enc : 8.6482e-02 	 AEnc : 4.2976e-02 	 MSE : 3.5008e+01
Epoch 8, 75% 	 Loss : 4.9716e-01 	 Res : 2.3283e-01 	 Jac : 5.9093e-02 	 Enc : 8.0563e-02 	 AEnc : 9.4515e-02 	 MSE : 3.0160e+01
Training Epoch 8 : 	 Train : 4.53199e-01 	 Res : 2.10662e-01 	 Jac : 5.14998e-02 	 Enc : 8.33112e-02 	 AE : 7.51784e-02 	 MSE : 3.25474e+01
Validation Epoch 8 : 	 Train : 6.47735e-01 	 Res : 3.74538e-01 	 Jac : 5.57843e-02 	 Enc : 9.09402e-02 	 AE : 8.97885e-02 	 MSE : 3.66845e+01
Training Epoch 8 finished, took current epoch 378.19s, cumulative time 3292.26s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
Epoch 9, 25% 	 Loss : 3.9650e-01 	 Res : 1.8676e-01 	 Jac : 5.2241e-02 	 Enc : 8.0756e-02 	 AEnc : 5.0367e-02 	 MSE : 2.6372e+01
Epoch 9, 50% 	 Loss : 3.4930e-01 	 Res : 1.5012e-01 	 Jac : 4.4397e-02 	 Enc : 7.9358e-02 	 AEnc : 4.7681e-02 	 MSE : 2.7739e+01
Epoch 9, 75% 	 Loss : 5.2116e-01 	 Res : 1.8389e-01 	 Jac : 4.9244e-02 	 Enc : 7.9745e-02 	 AEnc : 1.7983e-01 	 MSE : 2.8460e+01
Training Epoch 9 : 	 Train : 4.46750e-01 	 Res : 1.77974e-01 	 Jac : 4.80023e-02 	 Enc : 7.98340e-02 	 AE : 1.13269e-01 	 MSE : 2.76707e+01
Validation Epoch 9 : 	 Train : 5.33252e-01 	 Res : 1.88772e-01 	 Jac : 4.99779e-02 	 Enc : 7.70490e-02 	 AE : 1.91655e-01 	 MSE : 2.57982e+01
Training Epoch 9 finished, took current epoch 372.65s, cumulative time 3664.89s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
Epoch 10, 25% 	 Loss : 5.9994e-01 	 Res : 3.0604e-01 	 Jac : 5.2409e-02 	 Enc : 8.1706e-02 	 AEnc : 1.2586e-01 	 MSE : 3.3917e+01
Epoch 10, 50% 	 Loss : 3.7051e-01 	 Res : 1.6553e-01 	 Jac : 5.0920e-02 	 Enc : 7.2996e-02 	 AEnc : 5.5327e-02 	 MSE : 2.5730e+01
Epoch 10, 75% 	 Loss : 3.5081e-01 	 Res : 1.7907e-01 	 Jac : 5.0712e-02 	 Enc : 7.2234e-02 	 AEnc : 1.9153e-02 	 MSE : 2.9637e+01
Training Epoch 10 : 	 Train : 4.17238e-01 	 Res : 2.03495e-01 	 Jac : 5.14308e-02 	 Enc : 7.46661e-02 	 AE : 5.83086e-02 	 MSE : 2.93376e+01
Validation Epoch 10 : 	 Train : 3.18181e-01 	 Res : 1.55179e-01 	 Jac : 4.37923e-02 	 Enc : 6.65830e-02 	 AE : 2.88239e-02 	 MSE : 2.38025e+01
Training Epoch 10 finished, took current epoch 385.13s, cumulative time 4049.99s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
Epoch 11, 25% 	 Loss : 3.7828e-01 	 Res : 1.7736e-01 	 Jac : 5.5616e-02 	 Enc : 6.8878e-02 	 AEnc : 4.9264e-02 	 MSE : 2.7169e+01
Epoch 11, 50% 	 Loss : 3.5903e-01 	 Res : 1.8164e-01 	 Jac : 4.9324e-02 	 Enc : 6.7034e-02 	 AEnc : 2.9525e-02 	 MSE : 3.1507e+01
Epoch 11, 75% 	 Loss : 4.6079e-01 	 Res : 2.4208e-01 	 Jac : 6.0456e-02 	 Enc : 7.4356e-02 	 AEnc : 5.3118e-02 	 MSE : 3.0777e+01
Training Epoch 11 : 	 Train : 3.98421e-01 	 Res : 1.83169e-01 	 Jac : 5.37877e-02 	 Enc : 7.01002e-02 	 AE : 6.22602e-02 	 MSE : 2.91044e+01
Validation Epoch 11 : 	 Train : 2.84316e-01 	 Res : 8.14216e-02 	 Jac : 4.21902e-02 	 Enc : 6.47732e-02 	 AE : 7.18849e-02 	 MSE : 2.40465e+01
Training Epoch 11 finished, took current epoch 387.29s, cumulative time 4437.22s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
MODEL SAVED
Epoch 12, 25% 	 Loss : 3.6884e-01 	 Res : 2.0025e-01 	 Jac : 5.0336e-02 	 Enc : 6.5703e-02 	 AEnc : 1.9880e-02 	 MSE : 3.2672e+01
Epoch 12, 50% 	 Loss : 3.8069e-01 	 Res : 2.1443e-01 	 Jac : 4.1574e-02 	 Enc : 7.0972e-02 	 AEnc : 2.1130e-02 	 MSE : 3.2584e+01
Epoch 12, 75% 	 Loss : 6.0790e-01 	 Res : 3.4248e-01 	 Jac : 6.6454e-02 	 Enc : 6.7919e-02 	 AEnc : 9.3364e-02 	 MSE : 3.7679e+01
Training Epoch 12 : 	 Train : 4.65202e-01 	 Res : 2.39540e-01 	 Jac : 5.53315e-02 	 Enc : 6.70256e-02 	 AE : 7.10769e-02 	 MSE : 3.22276e+01
Validation Epoch 12 : 	 Train : 4.41578e-01 	 Res : 1.60415e-01 	 Jac : 3.80453e-02 	 Enc : 5.54429e-02 	 AE : 1.53286e-01 	 MSE : 3.43889e+01
Training Epoch 12 finished, took current epoch 379.21s, cumulative time 4816.41s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
Epoch 13, 25% 	 Loss : 4.6475e-01 	 Res : 2.0392e-01 	 Jac : 5.5522e-02 	 Enc : 6.8259e-02 	 AEnc : 1.0579e-01 	 MSE : 3.1267e+01
Epoch 13, 50% 	 Loss : 3.3985e-01 	 Res : 1.4307e-01 	 Jac : 6.8713e-02 	 Enc : 6.2830e-02 	 AEnc : 3.8462e-02 	 MSE : 2.6770e+01
Epoch 13, 75% 	 Loss : 3.6679e-01 	 Res : 1.9275e-01 	 Jac : 5.6423e-02 	 Enc : 6.0554e-02 	 AEnc : 2.4878e-02 	 MSE : 3.2183e+01
Training Epoch 13 : 	 Train : 3.70829e-01 	 Res : 1.71850e-01 	 Jac : 5.84970e-02 	 Enc : 6.36319e-02 	 AE : 4.64246e-02 	 MSE : 3.04248e+01
Validation Epoch 13 : 	 Train : 5.02235e-01 	 Res : 3.47025e-01 	 Jac : 5.67563e-02 	 Enc : 6.16524e-02 	 AE : 2.64425e-03 	 MSE : 3.41574e+01
Training Epoch 13 finished, took current epoch 400.99s, cumulative time 5217.39s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
Epoch 14, 25% 	 Loss : 4.2000e-01 	 Res : 2.1510e-01 	 Jac : 5.4776e-02 	 Enc : 5.7220e-02 	 AEnc : 6.3385e-02 	 MSE : 2.9520e+01
Epoch 14, 50% 	 Loss : 3.6915e-01 	 Res : 1.8977e-01 	 Jac : 5.2557e-02 	 Enc : 5.7153e-02 	 AEnc : 4.1213e-02 	 MSE : 2.8457e+01
Epoch 14, 75% 	 Loss : 5.0129e-01 	 Res : 2.7252e-01 	 Jac : 5.2218e-02 	 Enc : 6.5947e-02 	 AEnc : 7.3401e-02 	 MSE : 3.7199e+01
Training Epoch 14 : 	 Train : 4.28996e-01 	 Res : 2.27745e-01 	 Jac : 5.05277e-02 	 Enc : 5.89433e-02 	 AE : 5.95775e-02 	 MSE : 3.22019e+01
Validation Epoch 14 : 	 Train : 3.23847e-01 	 Res : 1.55164e-01 	 Jac : 4.22231e-02 	 Enc : 4.82364e-02 	 AE : 4.85878e-02 	 MSE : 2.96359e+01
Training Epoch 14 finished, took current epoch 389.66s, cumulative time 5607.01s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
Epoch 15, 25% 	 Loss : 3.9283e-01 	 Res : 2.2348e-01 	 Jac : 6.1850e-02 	 Enc : 5.1935e-02 	 AEnc : 2.7556e-02 	 MSE : 2.8013e+01
Epoch 15, 50% 	 Loss : 3.9884e-01 	 Res : 2.1691e-01 	 Jac : 5.6137e-02 	 Enc : 4.8032e-02 	 AEnc : 4.4183e-02 	 MSE : 3.3572e+01
Epoch 15, 75% 	 Loss : 3.3879e-01 	 Res : 1.6828e-01 	 Jac : 4.8202e-02 	 Enc : 4.4424e-02 	 AEnc : 4.7083e-02 	 MSE : 3.0804e+01
Training Epoch 15 : 	 Train : 3.86350e-01 	 Res : 2.18382e-01 	 Jac : 5.53207e-02 	 Enc : 4.74494e-02 	 AE : 3.33755e-02 	 MSE : 3.18220e+01
Validation Epoch 15 : 	 Train : 2.68222e-01 	 Res : 1.45322e-01 	 Jac : 5.32816e-02 	 Enc : 4.36727e-02 	 AE : 1.56265e-02 	 MSE : 1.03195e+01
Training Epoch 15 finished, took current epoch 427.69s, cumulative time 6034.65s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
Epoch 16, 25% 	 Loss : 3.2050e-01 	 Res : 1.8100e-01 	 Jac : 5.4443e-02 	 Enc : 4.3563e-02 	 AEnc : 1.4567e-02 	 MSE : 2.6929e+01
Epoch 16, 50% 	 Loss : 3.5659e-01 	 Res : 1.9471e-01 	 Jac : 5.4717e-02 	 Enc : 3.9549e-02 	 AEnc : 3.8617e-02 	 MSE : 2.8996e+01
Epoch 16, 75% 	 Loss : 3.5285e-01 	 Res : 1.7316e-01 	 Jac : 5.9129e-02 	 Enc : 3.9829e-02 	 AEnc : 5.0711e-02 	 MSE : 3.0024e+01
Training Epoch 16 : 	 Train : 3.83251e-01 	 Res : 1.91990e-01 	 Jac : 5.39734e-02 	 Enc : 4.06938e-02 	 AE : 6.70949e-02 	 MSE : 2.94993e+01
Validation Epoch 16 : 	 Train : 3.58312e-01 	 Res : 1.44781e-01 	 Jac : 3.80332e-02 	 Enc : 3.78284e-02 	 AE : 1.00227e-01 	 MSE : 3.74420e+01
Training Epoch 16 finished, took current epoch 400.35s, cumulative time 6434.96s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
Epoch 17, 25% 	 Loss : 9.7643e-01 	 Res : 5.9644e-01 	 Jac : 1.1244e-01 	 Enc : 4.3176e-02 	 AEnc : 1.7787e-01 	 MSE : 4.6499e+01
Epoch 17, 50% 	 Loss : 3.8038e-01 	 Res : 1.3430e-01 	 Jac : 4.8475e-02 	 Enc : 4.0058e-02 	 AEnc : 1.3374e-01 	 MSE : 2.3809e+01
Epoch 17, 75% 	 Loss : 4.0736e-01 	 Res : 2.1434e-01 	 Jac : 6.4401e-02 	 Enc : 3.8084e-02 	 AEnc : 5.8918e-02 	 MSE : 3.1616e+01
Training Epoch 17 : 	 Train : 5.28955e-01 	 Res : 2.82391e-01 	 Jac : 6.92942e-02 	 Enc : 3.97717e-02 	 AE : 1.04096e-01 	 MSE : 3.34017e+01
Validation Epoch 17 : 	 Train : 3.07506e-01 	 Res : 1.17889e-01 	 Jac : 3.74453e-02 	 Enc : 3.02707e-02 	 AE : 9.05857e-02 	 MSE : 3.13159e+01
Training Epoch 17 finished, took current epoch 389.14s, cumulative time 6824.08s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
Epoch 18, 25% 	 Loss : 3.0873e-01 	 Res : 1.2230e-01 	 Jac : 5.6999e-02 	 Enc : 3.3297e-02 	 AEnc : 7.0345e-02 	 MSE : 2.5784e+01
Epoch 18, 50% 	 Loss : 2.7082e-01 	 Res : 1.3333e-01 	 Jac : 4.8025e-02 	 Enc : 3.3477e-02 	 AEnc : 2.7900e-02 	 MSE : 2.8084e+01
Epoch 18, 75% 	 Loss : 2.5103e-01 	 Res : 9.5371e-02 	 Jac : 5.8581e-02 	 Enc : 3.1022e-02 	 AEnc : 4.4336e-02 	 MSE : 2.1717e+01
Training Epoch 18 : 	 Train : 2.85211e-01 	 Res : 1.23525e-01 	 Jac : 5.47744e-02 	 Enc : 3.27352e-02 	 AE : 4.90356e-02 	 MSE : 2.51405e+01
Validation Epoch 18 : 	 Train : 2.19734e-01 	 Res : 1.00312e-01 	 Jac : 3.21252e-02 	 Enc : 3.15764e-02 	 AE : 3.12486e-02 	 MSE : 2.44717e+01
Training Epoch 18 finished, took current epoch 398.19s, cumulative time 7222.23s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
Epoch 19, 25% 	 Loss : 4.5554e-01 	 Res : 1.2964e-01 	 Jac : 4.8608e-02 	 Enc : 3.4548e-02 	 AEnc : 2.2187e-01 	 MSE : 2.0876e+01
Epoch 19, 50% 	 Loss : 2.3373e-01 	 Res : 8.9078e-02 	 Jac : 5.9936e-02 	 Enc : 3.4058e-02 	 AEnc : 2.7509e-02 	 MSE : 2.3151e+01
Epoch 19, 75% 	 Loss : 2.3819e-01 	 Res : 9.7498e-02 	 Jac : 5.0684e-02 	 Enc : 2.9545e-02 	 AEnc : 4.1992e-02 	 MSE : 1.8471e+01
Training Epoch 19 : 	 Train : 3.13083e-01 	 Res : 1.06428e-01 	 Jac : 5.37677e-02 	 Enc : 3.22565e-02 	 AE : 1.00216e-01 	 MSE : 2.04145e+01
Validation Epoch 19 : 	 Train : 2.74193e-01 	 Res : 1.37905e-01 	 Jac : 3.16943e-02 	 Enc : 2.32795e-02 	 AE : 5.54885e-02 	 MSE : 2.58252e+01
Training Epoch 19 finished, took current epoch 414.84s, cumulative time 7637.05s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
Epoch 20, 25% 	 Loss : 2.8279e-01 	 Res : 1.2069e-01 	 Jac : 4.8811e-02 	 Enc : 2.9449e-02 	 AEnc : 5.8475e-02 	 MSE : 2.5369e+01
Epoch 20, 50% 	 Loss : 5.1972e-01 	 Res : 1.3771e-01 	 Jac : 5.2284e-02 	 Enc : 3.1010e-02 	 AEnc : 2.7256e-01 	 MSE : 2.6157e+01
Epoch 20, 75% 	 Loss : 3.1187e-01 	 Res : 1.5521e-01 	 Jac : 5.8343e-02 	 Enc : 2.9728e-02 	 AEnc : 4.1891e-02 	 MSE : 2.6698e+01
Training Epoch 20 : 	 Train : 3.23047e-01 	 Res : 1.17950e-01 	 Jac : 5.52875e-02 	 Enc : 2.94493e-02 	 AE : 9.71156e-02 	 MSE : 2.32442e+01
Validation Epoch 20 : 	 Train : 3.74693e-01 	 Res : 1.90428e-01 	 Jac : 1.07707e-01 	 Enc : 2.97809e-02 	 AE : 9.82533e-03 	 MSE : 3.69526e+01
Training Epoch 20 finished, took current epoch 463.49s, cumulative time 8100.53s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
Epoch 21, 25% 	 Loss : 2.8291e-01 	 Res : 1.1373e-01 	 Jac : 5.7007e-02 	 Enc : 2.7804e-02 	 AEnc : 6.1077e-02 	 MSE : 2.3289e+01
Epoch 21, 50% 	 Loss : 3.3042e-01 	 Res : 1.1077e-01 	 Jac : 4.9060e-02 	 Enc : 2.6287e-02 	 AEnc : 1.2820e-01 	 MSE : 1.6103e+01
Epoch 21, 75% 	 Loss : 5.0304e-01 	 Res : 3.2484e-01 	 Jac : 5.7903e-02 	 Enc : 3.5616e-02 	 AEnc : 5.3663e-02 	 MSE : 3.1016e+01
Training Epoch 21 : 	 Train : 3.42365e-01 	 Res : 1.63349e-01 	 Jac : 5.29096e-02 	 Enc : 2.88352e-02 	 AE : 7.43642e-02 	 MSE : 2.29063e+01
Validation Epoch 21 : 	 Train : 2.43241e-01 	 Res : 1.20466e-01 	 Jac : 4.61449e-02 	 Enc : 2.53708e-02 	 AE : 2.33003e-02 	 MSE : 2.79581e+01
Training Epoch 21 finished, took current epoch 439.95s, cumulative time 8540.48s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
Epoch 22, 25% 	 Loss : 2.2331e-01 	 Res : 1.0141e-01 	 Jac : 4.7855e-02 	 Enc : 2.4519e-02 	 AEnc : 2.5997e-02 	 MSE : 2.3529e+01
Epoch 22, 50% 	 Loss : 2.5683e-01 	 Res : 1.2054e-01 	 Jac : 6.2298e-02 	 Enc : 2.6209e-02 	 AEnc : 2.5057e-02 	 MSE : 2.2735e+01
Epoch 22, 75% 	 Loss : 2.7094e-01 	 Res : 9.8553e-02 	 Jac : 5.0395e-02 	 Enc : 2.4862e-02 	 AEnc : 7.7078e-02 	 MSE : 2.0053e+01
Training Epoch 22 : 	 Train : 2.32889e-01 	 Res : 9.64275e-02 	 Jac : 5.22305e-02 	 Enc : 2.47326e-02 	 AE : 3.87868e-02 	 MSE : 2.07113e+01
Validation Epoch 22 : 	 Train : 1.46334e-01 	 Res : 5.28282e-02 	 Jac : 4.27335e-02 	 Enc : 2.28174e-02 	 AE : 1.50947e-02 	 MSE : 1.28600e+01
Training Epoch 22 finished, took current epoch 436.74s, cumulative time 8977.15s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
MODEL SAVED
Epoch 23, 25% 	 Loss : 2.8414e-01 	 Res : 1.5499e-01 	 Jac : 5.6333e-02 	 Enc : 2.6037e-02 	 AEnc : 2.0328e-02 	 MSE : 2.6453e+01
Epoch 23, 50% 	 Loss : 2.1136e-01 	 Res : 9.8323e-02 	 Jac : 4.8423e-02 	 Enc : 2.6528e-02 	 AEnc : 1.6503e-02 	 MSE : 2.1583e+01
Epoch 23, 75% 	 Loss : 2.3425e-01 	 Res : 1.0416e-01 	 Jac : 5.0883e-02 	 Enc : 2.3126e-02 	 AEnc : 3.4228e-02 	 MSE : 2.1854e+01
Training Epoch 23 : 	 Train : 2.84103e-01 	 Res : 1.50363e-01 	 Jac : 5.16657e-02 	 Enc : 2.55287e-02 	 AE : 3.00471e-02 	 MSE : 2.64989e+01
Validation Epoch 23 : 	 Train : 2.56818e-01 	 Res : 9.22752e-02 	 Jac : 3.17061e-02 	 Enc : 2.48649e-02 	 AE : 8.37615e-02 	 MSE : 2.42108e+01
Training Epoch 23 finished, took current epoch 429.02s, cumulative time 9406.15s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
Epoch 24, 25% 	 Loss : 2.9290e-01 	 Res : 1.4471e-01 	 Jac : 4.7694e-02 	 Enc : 2.4841e-02 	 AEnc : 4.5193e-02 	 MSE : 3.0464e+01
